Category,Processed_Message,Anomaly_Label
0,"['go', 'jurong', 'point', 'crazy', 'available', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', 'cine', 'got', 'amore', 'wat']",anomaly
0,"['ok', 'lar', 'joking', 'wif', 'u', 'oni']",normal
1,"['free', 'entry', '2', 'wkly', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', '21st', 'may', '2005', 'text', 'fa', '87121', 'receive', 'entry', 'questionstd', 'txt', 'ratetcs', 'apply', '08452810075over18s']",normal
0,"['u', 'dun', 'say', 'early', 'hor', 'u', 'c', 'already', 'say']",normal
0,"['nah', 'dont', 'think', 'go', 'usf', 'life', 'around', 'though']",anomaly
1,"['freemsg', 'hey', 'darling', '3', 'week', 'word', 'back', 'id', 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chgs', 'send', '£150', 'rcv']",normal
0,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aid', 'patent']",normal
0,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'ha', 'set', 'callertune', 'caller', 'press', '9', 'copy', 'friend', 'callertune']",normal
1,"['winner', 'valued', 'network', 'customer', 'selected', 'receivea', '£900', 'prize', 'reward', 'claim', 'call', '09061701461', 'claim', 'code', 'kl341', 'valid', '12', 'hour']",normal
1,"['mobile', '11', 'month', 'u', 'r', 'entitled', 'update', 'latest', 'colour', 'mobile', 'camera', 'free', 'call', 'mobile', 'update', 'co', 'free', '08002986030']",normal
0,"['im', 'gon', 'na', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'k', 'ive', 'cried', 'enough', 'today']",normal
1,"['six', 'chance', 'win', 'cash', '100', '20000', 'pound', 'txt', 'csh11', 'send', '87575', 'cost', '150pday', '6days', '16', 'tsandcs', 'apply', 'reply', 'hl', '4', 'info']",normal
1,"['urgent', '1', 'week', 'free', 'membership', '£100000', 'prize', 'jackpot', 'txt', 'word', 'claim', '81010', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18']",normal
0,"['ive', 'searching', 'right', 'word', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'wonderful', 'blessing', 'time']",normal
0,"['date', 'sunday']",normal
1,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']",normal
0,"['oh', 'kim', 'watching']",normal
0,"['eh', 'u', 'remember', '2', 'spell', 'name', 'yes', 'v', 'naughty', 'make', 'v', 'wet']",normal
0,"['fine', 'that\x92s', 'way', 'u', 'feel', 'that\x92s', 'way', 'gota', 'b']",normal
1,"['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', '87077', 'eg', 'england', '87077', 'trywales', 'scotland', '4txtú120', 'poboxox36504w45wq', '16']",normal
0,"['seriously', 'spell', 'name']",normal
0,"['‘', 'going', 'try', '2', 'month', 'ha', 'ha', 'joking']",normal
0,"['ü', 'pay', 'first', 'lar', 'da', 'stock', 'comin']",normal
0,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']",anomaly
0,"['ffffffffff', 'alright', 'way', 'meet', 'sooner']",normal
0,"['forced', 'eat', 'slice', 'im', 'really', 'hungry', 'tho', 'suck', 'mark', 'getting', 'worried', 'know', 'im', 'sick', 'turn', 'pizza', 'lol']",normal
0,"['lol', 'always', 'convincing']",normal
0,"['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'mom', 'left', 'dinner', 'feel', 'love']",normal
0,"['im', 'back', 'amp', 'packing', 'car', 'ill', 'let', 'know', 'room']",normal
0,"['ahhh', 'work', 'vaguely', 'remember', 'doe', 'feel', 'like', 'lol']",normal
0,"['wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'thats', 'x', 'doesnt', 'want', 'live', 'u']",normal
0,"['yeah', 'got', '2', 'wa', 'v', 'apologetic', 'n', 'fallen', 'wa', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', '2', 'wont', 'go', 'badly', 'cheer']",anomaly
0,"['k', 'tell', 'anything']",normal
0,"['fear', 'fainting', 'housework', 'quick', 'cuppa']",normal
1,"['thanks', 'subscription', 'ringtone', 'uk', 'mobile', 'charged', '£5month', 'please', 'confirm', 'replying', 'yes', 'reply', 'charged']",normal
0,"['yup', 'ok', 'go', 'home', 'look', 'timing', 'msg', 'ü', 'xuhui', 'going', 'learn', '2nd', 'may', 'lesson', '8am']",anomaly
0,"['oops', 'ill', 'let', 'know', 'roommate', 'done']",normal
0,"['see', 'letter', 'b', 'car']",normal
0,"['anything', 'lor', 'u', 'decide']",normal
0,"['hello', 'hows', 'saturday', 'go', 'wa', 'texting', 'see', 'youd', 'decided', 'anything', 'tomo', 'im', 'trying', 'invite', 'anything']",anomaly
0,"['pls', 'go', 'ahead', 'watt', 'wanted', 'sure', 'great', 'weekend', 'abiola']",anomaly
0,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']",normal
1,"['07732584351', 'rodger', 'burn', 'msg', 'tried', 'call', 'reply', 'sm', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', '08000930705', 'delivery', 'tomorrow']",normal
0,['seeing'],normal
0,"['great', 'hope', 'like', 'man', 'well', 'endowed', 'ltgt', 'inch']",normal
0,"['callsmessagesmissed', 'call']",normal
0,"['didnt', 'get', 'hep', 'b', 'immunisation', 'nigeria']",normal
0,"['fair', 'enough', 'anything', 'going']",normal
0,"['yeah', 'hopefully', 'tyler', 'cant', 'could', 'maybe', 'ask', 'around', 'bit']",normal
0,"['u', 'dont', 'know', 'stubborn', 'didnt', 'even', 'want', 'go', 'hospital', 'kept', 'telling', 'mark', 'im', 'weak', 'sucker', 'hospital', 'weak', 'sucker']",anomaly
0,"['thinked', 'first', 'time', 'saw', 'class']",normal
0,"['gram', 'usually', 'run', 'like', 'ltgt', 'half', 'eighth', 'smarter', 'though', 'get', 'almost', 'whole', 'second', 'gram', 'ltgt']",normal
0,"['k', 'fyi', 'x', 'ha', 'ride', 'early', 'tomorrow', 'morning', 'crashing', 'place', 'tonight']",normal
0,"['wow', 'never', 'realized', 'embarassed', 'accomodations', 'thought', 'liked', 'since', 'wa', 'best', 'could', 'always', 'seemed', 'happy', 'cave', 'im', 'sorry', 'didnt', 'dont', 'give', 'im', 'sorry', 'offered', 'im', 'sorry', 'room', 'wa', 'embarassing']",normal
1,"['sm', 'ac', 'sptv', 'new', 'jersey', 'devil', 'detroit', 'red', 'wing', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'reply', 'end', 'sptv']",normal
0,"['know', 'mallika', 'sherawat', 'yesterday', 'find', 'lturlgt']",normal
1,"['congrats', '1', 'year', 'special', 'cinema', 'pas', '2', 'call', '09061209465', 'c', 'suprman', 'v', 'matrix3', 'starwars3', 'etc', '4', 'free', 'bx420ip45we', '150pm', 'dont', 'miss']",normal
0,"['sorry', 'ill', 'call', 'later', 'meeting']",normal
0,"['tell', 'reached']",normal
0,"['yesgauti', 'sehwag', 'odi', 'series']",normal
0,"['gon', 'na', 'pick', '1', 'burger', 'way', 'home', 'cant', 'even', 'move', 'pain', 'killing']",normal
0,"['ha', 'ha', 'ha', 'good', 'joke', 'girl', 'situation', 'seeker']",normal
0,"['part', 'checking', 'iq']",normal
0,"['sorry', 'roommate', 'took', 'forever', 'ok', 'come']",normal
0,"['ok', 'lar', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'said', 'wun', 'cut', 'v', 'short', 'said', 'cut', 'look', 'nice']",normal
1,"['valued', 'customer', 'pleased', 'advise', 'following', 'recent', 'review', 'mob', 'awarded', '£1500', 'bonus', 'prize', 'call', '09066364589']",normal
0,"['today', 'song', 'dedicated', 'day', 'song', 'u', 'dedicate', 'send', 'ur', 'valuable', 'frnds', 'first', 'rply']",normal
1,"['urgent', 'ur', 'awarded', 'complimentary', 'trip', 'eurodisinc', 'trav', 'acoentry41', '£1000', 'claim', 'txt', 'dis', '87121', '186£150morefrmmob', 'shracomorsglsuplt10', 'ls1', '3aj']",normal
1,"['hear', 'new', 'divorce', 'barbie', 'come', 'ken', 'stuff']",normal
0,"['plane', 'give', 'month', 'end']",normal
0,"['wah', 'lucky', 'man', 'save', 'money', 'hee']",normal
0,"['finished', 'class']",normal
0,"['hi', 'babe', 'im', 'home', 'wan', 'na', 'something', 'xx']",normal
0,"['kkwhere', 'youhow', 'performed']",normal
0,"['u', 'call']",normal
0,"['waiting', 'machan', 'call', 'free']",normal
0,"['thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect']",normal
0,"['like', 'people', 'much', 'shy', 'pa']",normal
0,"['doe', 'operate', 'ltgt']",normal
0,"['still', 'looking', 'job', 'much', 'ta', 'earn']",normal
0,"['sorry', 'ill', 'call', 'later']",normal
0,"['k', 'call', 'ah']",normal
0,"['ok', 'way', 'home', 'hi', 'hi']",normal
0,"['place', 'man']",normal
0,"['yup', 'next', 'stop']",normal
0,"['call', 'later', 'dont', 'network', 'urgnt', 'sm']",normal
0,"['real', 'u', 'getting', 'yo', 'need', '2', 'ticket', 'one', 'jacket', 'im', 'done', 'already', 'used', 'multis']",normal
0,"['yes', 'started', 'send', 'request', 'make', 'pain', 'came', 'back', 'im', 'back', 'bed', 'double', 'coin', 'factory', 'got', 'ta', 'cash', 'nitros']",normal
0,"['im', 'really', 'still', 'tonight', 'babe']",normal
0,"['ela', 'kanoil', 'download', 'come', 'wen', 'ur', 'free']",normal
0,"['yeah', '‘', 'stand', 'close', 'tho', '‘', 'catch', 'something']",normal
0,"['sorry', 'pain', 'ok', 'meet', 'another', 'night', 'spent', 'late', 'afternoon', 'casualty', 'mean', 'havent', 'done', 'stuff42moro', 'includes', 'time', 'sheet', 'sorry']",normal
0,"['smile', 'pleasure', 'smile', 'pain', 'smile', 'trouble', 'pours', 'like', 'rain', 'smile', 'sum1', 'hurt', 'u', 'smile', 'becoz', 'someone', 'still', 'love', 'see', 'u', 'smiling']",normal
